id,normalized_name,gender
980,sebastian kobb,
981,woman with baby,
982,baby,
983,nimoy,
984,engineer 1,
985,haverbrook man,
944,captain horatio mccallister,m
963,hans moleman,m
923,squeaky-voiced teen,m
978,lanley,m
921,laura powers,f
908,bumblebee man,m
880,santa claus,m
986,bart anchor,
987,lance murdock,
988,2nd announcer,
989,homers thought bubble,
990,reverend,
991,aunt gladyss corpse,
992,aunt gladys,
993,hutz voice,
994,mr hutz,
995,princess opal,
996,bag boy,
997,waitress 2,
998,sperm doctor,
999,babies,
1000,man on radio,
1001,surly,
1002,attractive woman,
1003,man on tv,
1004,beer singers,
1005,hercules,
1006,security man,
1007,washington,
1008,man in white coat,
1009,boys,
1010,santas little helper,
1011,homers bloody skull,
1012,sketch announcer,
1013,agency worker,
1014,fans,
1015,small man,
1016,chihuahua,
1017,cat,
1018,corey,
1019,pepi,
1020,apus brain,
1021,johnny,
1022,truck driver,
1023,rex,
1024,homers conscience,
1025,robert frost,
1026,frost,
1027,raheem,
1028,presidents,
1029,harrison,
1030,presidents heads,
1031,teddy roosevelt,
1032,3rd world father,
1033,3rd world family,
1034,mechanical figure,
1035,tourists,
1036,cartoon doctor,
1037,richard nixon,
1038,kennedy,
1039,mrs phillips,
1040,assembly,
1041,chucks dad,
1043,parent one,
1044,parent two,
1045,feminists,
1047,train,
1048,receiver,
1049,burns grandfather,
1050,dr wolfe,
1051,gummy joe,
1052,donut vendor,
1053,mop top 1,
1054,mop top 2,
1055,mop top 3,
1056,mop tops,
1057,goon,
1058,bird,
1059,quigley,
1060,robots,
1061,dr joyce,
1062,pagan simpsons,
1063,waiterscooks,
1064,specialist,
1065,intern,
1066,elvis,
1068,writer,
1069,roxie,
1070,bobby mindich,
1072,barneys boss,
1073,writer 2,
1074,cowboys,
1075,brooke,
1076,child,
1077,seagull,
1079,scottish woman,
1080,exhaust pipe lid,
1081,chicken,
1082,mr ogden,
1083,scientist 1,
1084,scientist 2,
1085,evil homer,
1086,hitler,
1087,recruiter,
1088,actor,
1089,teenaged guide,
1090,childrens choir,
1091,boy soloist,
1092,driver of foreign car,
1093,barry white,
1094,miss springfield,
1095,irishman,
1078,gary chalmers,m
1046,baseball announcer,m
1071,artie,m
1096,old mrs glick,
1097,sick japanese worker,
1098,japanese worker 2,
1099,japanese workers,
1100,white blood cell 1,
1101,white blood cell 2,
1102,virus,
1103,jamaican man,
1104,husband,
1105,jury,
1106,david crosby,
1107,jury foreman,
1109,phillips,
1110,tattoo annie,
1111,park commissioner,
1112,assistant,
1113,jacqueline,
1115,coast guard officer,
1116,charley weaver,
1117,gabbo,
1118,crandall,
1119,soldier puppets,
1120,cossack puppets,
1121,alphonse,
1122,commercial announcer,
1123,casting director,
1124,old man singers,
1125,bette midler,
1126,hugh hefner,
1127,anthony kiedis,
1128,flea,
1129,elizabeth taylor,
1130,counter boy,
1131,mr johannson,
1132,luke perry,
1133,luke perry in dream,
1134,chad smith,
1135,arik marshal,
1136,krusty announcer,
1137,chili peppers,
1138,man at table,
1139,speeded up voices,
1140,melvin,
1141,quartet,
1142,tenor,
1143,be sharps,
1144,paul harvey,
1145,ronald reagan,
1146,panicky man,
1147,sarah wiggum,
1148,female talk show host,
1149,george harrison,
1150,2-year-old lisa,
1151,teenage bellboy,
1152,surly man,
1153,kako,
1154,human fly,
1155,sinister male voice,
1156,schoolyard girls,
1157,mrs krabappel,
1158,parole board head,
1159,people in court,
1160,parole board member 1,
1161,parole board,
1162,parole board member 2,
1163,man on screen,
1164,woman on tape,
1165,investigator,
1166,celestial choir,
1167,womans voice,
1168,nrc woman,
1169,nrc man,
1170,dumb employee 1,
1171,dumb employee 2,
1172,counselor,
1173,admissions man,
1174,admissions woman,
1175,hillbilly man,
1176,angry dean,
1177,nerdlinger,
1178,scholar,
1179,overseers,
1180,jock,
1181,skinny student,
1182,dean bobby peterson,
1183,professor,
1184,architect,
1185,men,
1186,dean,
1187,doug,
1188,gary,
1189,benjamin,
1190,automated voice,
1191,guards,
1192,7-year old burns,
1193,burns mother,
1194,burnss father,
1195,george burns,
1196,jimmy carter,
1198,ramone 1,
1199,ramone 2,
1200,ramone 3,
1201,ramone 4,
1197,george hw bush,m
1108,warden,m
1202,drummer,
1203,mechanic,
1204,explorer,
1205,bear,
1206,workman,
1207,workman 2,
1208,hooded man,
1209,dinosaur,
1210,mr boswell,
1211,pieces of homer,
1212,demon technician,
1213,skeleton judge,
1214,blackbeard,
1215,benedict arnold,
1216,lizzie borden,
1217,kodo,
1218,exchange student,
1219,gremlin,
1220,groundkeeper willie,
1221,bart bat,
1222,humorist,
1224,the pope,
1226,scientist,
1227,technician 1,
1228,technician 2,
1229,lady,
1230,tape player,
1231,lennys wife,
1232,tough guy,
1233,mohawk girl,
1235,woman 3,
1236,woman 4,
1237,fry cook,
1238,diner owner,
1240,flanders inner child,
1241,homers inner child,
1242,moes inner child,
1243,women in crowd,
1244,old folks,
1245,mr krabappel,
1246,james brown,
1247,carpenter,
1248,dorky teenager,
1249,mcgarnigal,
1250,atari andre gregory,
1251,manuel noriega,
1252,arcade manager,
1253,wise old hobo,
1254,triple milhouse,
1255,dorky kid,
1256,pudgy boy,
1257,fathers,
1258,ernest borgnine,
1259,dolphins,
1261,arab men,
1262,agent 1,
1263,zutroy,
1264,agent 2,
1265,optometrist,
1266,dermatologist,
1267,podiatrist,
1268,internist,
1269,jerry lewis bart,
1271,cherub lenny,
1272,cherub carl,
1273,fish,
1274,sexy woman announcer,
1275,jeeves,
1276,white house aide,
1277,turban kid,
1278,fat kid,
1279,nerds,
1280,big hand man,
1281,bellhop,
1282,passerby 1,
1283,passerby 2,
1284,chinese waiter 1,
1285,chinese waiter 2,
1286,newsreel announcer,
1287,amos guy,
1288,young jasper,
1289,panhandler,
1290,angry voice from stall,
1291,henry kissinger,
1292,henry kissingers brain,
1293,little burns,
1294,british guy,
1295,british waitress,
1296,hippie,
1297,gerry cooney,
1298,blackjack players,
1299,big texan,
1300,ernst,
1301,gunter,
1302,teenage attendant,
1303,someone,
1304,rain man,
1305,gambler,
1306,crap players,
1307,farmboy,
1308,slot player 1,
1309,slot player 2,
1239,goodman,m
1225,ruth,f
1270,mindy,f
1223,edward,m
1260,accountant,m
1310,audience member,
1311,robert goulet,
1312,wheelman,
1313,wheel players,
1314,craps players,
1315,molloy,
1316,voice from the back,
1317,irish pete,
1318,beatnik poet,
1319,twelve-year-old,
1320,cat burglar,
1321,box executive,
1322,organ grinder,
1323,crowd member,
1324,2nd crowd member,
1325,mrs quimby,
1326,fireman,
1327,hammer,
1328,conan,
1329,kitty,
1330,customer 1,
1331,customer 2,
1332,dog,
1334,bum 1,
1335,comedian,
1338,stockboy,
1339,christians,
1340,robed indian,
1341,aged man,
1342,robber,
1343,old ladies,
1344,onlookers,
1345,girl 2,
1346,hip old man,
1347,buzz announcer,
1348,malibu stacy,
1349,goofy girl,
1350,goofy girls stacy,
1351,recorded voice,
1352,claire harper,
1353,ugly man,
1354,leroy,
1355,angry customer,
1356,young man,
1357,stacy lovell,
1358,gi joe,
1359,doll,
1360,grim ceo,
1361,brockmans daughter,
1362,executives,
1363,old lady customer,
1364,old people,
1365,girl2,
1366,crowd noise,
1367,nasa announcer 1,
1368,nasa announcer 2,
1369,dr babcock,
1371,chimp,
1372,female scientist,
1373,tim allen-type,
1374,peg,
1375,nerdy scientist,
1376,jim wallace,
1377,toby hunter,
1378,buzz,
1379,mission control,
1380,race,
1381,everybody,
1382,ants,
1383,ant 1,
1384,ant 2,
1385,ant 3,
1386,ant 4,
1387,james taylor,
1388,rerporter 4,
1389,star child homer,
1390,first guy in line,
1391,eddie money,
1392,jeremiah,
1393,priest,
1394,rappin ronnie,
